#{"t_start": 1587269478.2896154, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.003734,999,572.436482
-0.004273,999,573.634821
-0.004518,999,574.913809
-0.003991,999,576.204849
-0.003836,999,577.499464
-0.003909,999,578.78553
-0.003518,999,580.004826
-0.004343,999,581.293886
-0.003857,999,582.585625
-0.003701,999,583.897466
-0.005104,999,585.21437
-0.004281,999,586.420443
-0.003674,999,587.718601
-0.003275,999,589.011042
-0.003428,999,590.317941
-0.003266,999,591.614457
-0.003414,999,592.87787
-0.003626,999,594.176156
-0.003387,999,595.472564
-0.003275,999,596.765622
-0.003536,999,598.057289
-0.003195,999,599.288163
-0.003072,999,601.047047
-0.003289,999,602.362082
-0.003154,999,603.651784
-0.00304,999,604.948504
-0.003799,999,606.170402
-0.003487,999,607.467431
-0.003153,999,608.766363
-0.004003,999,610.044228
-0.004766,999,611.353805
-0.004046,999,612.572811
-0.004157,999,613.85482
-0.00339,999,615.149877
-0.003245,999,616.439977
-0.003039,999,617.756607
-0.002972,999,618.9914
-0.002881,999,620.283219
-0.00307,999,621.566213
-0.002893,999,622.884538
-0.00269,999,624.175838
-0.002949,999,625.461489
-0.005363,999,626.703708
-0.004971,999,628.016623
-0.003117,999,629.323624
-0.002824,999,630.603153
-0.00274,999,631.885806
-0.00288,999,633.125993
-0.003476,999,634.4142
-0.004759,999,635.69968
-0.008736,999,636.989938
-0.011064,999,638.272907
-0.006743,999,639.466434
-0.005725,999,640.748331
-0.004492,999,642.031811
-0.004443,999,643.35961
-0.002918,999,644.657257
-0.003029,999,645.877099
-0.002501,999,647.196883
-0.002618,999,648.488375
-0.002373,999,649.800077
-0.003085,999,651.061489
-0.00395,999,652.267391
-0.002593,999,653.500633
-0.002479,999,654.755
-0.002762,999,655.996732
-0.003498,999,657.257323
-0.002792,999,658.419263
-0.002326,999,659.670511
-0.002524,999,660.917832
-0.002456,999,662.154588
-0.002259,999,663.405201
-0.002241,999,664.593075
-0.002377,999,665.840399
-0.002728,999,667.101851
-0.00278,999,668.362846
-0.002325,999,669.616485
-0.002505,999,670.808024
-0.002801,999,672.058782
-0.002429,999,673.312375
-0.002494,999,674.567491
-0.002307,999,675.814216
-0.002197,999,677.091947
-0.002403,999,678.275231
-0.002271,999,679.507056
-0.002351,999,680.763249
-0.00221,999,681.990906
-0.002331,999,683.260482
-0.00201,999,684.425243
-0.002254,999,685.66751
-0.002596,999,686.917686
-0.002623,999,688.159784
-0.002549,999,689.406981
-0.002309,999,690.582998
-0.002134,999,691.879824
-0.002102,999,693.124259
-0.002112,999,694.370044
-0.002366,999,695.646643
-0.00205,999,696.815285
-0.0022,999,698.073968
-0.002056,999,699.321053
-0.002144,999,700.580991
-0.002028,999,701.826053
-0.001997,999,703.024929
-0.00191,999,704.254386
-0.002258,999,705.504941
-0.002066,999,706.878741
-0.002527,999,708.231803
-0.003715,999,709.516148
-0.003625,999,710.904372
-0.002558,999,712.28821
-0.001873,999,713.663283
-0.002661,999,715.05119
-0.002223,999,716.340523
-0.002003,999,717.596477
-0.002007,999,718.848067
-0.001847,999,720.103648
-0.002106,999,721.360764
-0.001981,999,722.532437
-0.002037,999,723.80195
-0.001927,999,725.05363
-0.001928,999,726.32581
-0.002007,999,727.572986
-0.002313,999,728.821155
-0.002846,999,730.005127
-0.001932,999,731.27741
-0.001966,999,732.553445
-0.002275,999,733.834768
-0.00193,999,735.210227
-0.00249,999,736.508469
-0.002112,999,737.88641
-0.001871,999,739.278335
-0.001899,999,740.573512
-0.002063,999,741.840589
-0.002308,999,743.061847
-0.001882,999,744.401992
-0.001991,999,745.681705
-0.002449,999,746.97641
-0.002493,999,748.303791
-0.002903,999,749.531731
-0.002605,999,750.83713
-0.001774,999,752.14219
-0.001866,999,753.450406
-0.00171,999,754.742306
-0.001803,999,755.989477
-0.002045,999,757.32844
-0.002005,999,758.631857
-0.00247,999,759.934319
-0.002362,999,761.262514
-0.002905,999,762.496365
-0.002487,999,763.796125
-0.001676,999,765.074114
-0.001725,999,766.368177
-0.001552,999,767.695826
-0.002302,999,768.924789
-0.001825,999,770.231608
-0.002407,999,771.532882
-0.001887,999,772.839086
-0.001799,999,774.139818
-0.002251,999,775.365546
-0.001516,999,776.694078
-0.00242,999,777.969501
-0.001753,999,779.27873
-0.002418,999,780.566378
-0.002057,999,781.78511
-0.001557,999,783.10188
-0.001561,999,784.386638
-0.001638,999,785.683482
-0.001845,999,786.983815
-0.00164,999,788.308357
-0.001557,999,789.52838
-0.001709,999,790.811224
-0.001912,999,792.124825
-0.002176,999,793.445494
-0.003543,999,794.744549
-0.005849,999,795.975666
-0.0067,999,797.285301
-0.006438,999,798.584028
-0.006973,999,799.893119
-0.003872,999,801.194859
-0.002423,999,802.412067
-0.001919,999,803.922824
-0.001689,999,805.924103
-0.002578,999,807.942101
-0.003901,999,809.583279
-0.004053,999,810.808644
-0.003928,999,812.104602
-0.002154,999,813.421337
-0.00396,999,814.710564
-0.00839,999,816.001226
-0.006572,999,817.23337
-0.005561,999,818.541685
-0.005011,999,819.847306
-0.004286,999,821.129035
-0.002365,999,822.445267
-0.002478,999,823.662733
-0.002397,999,824.967115
-0.001719,999,826.29615
-0.001573,999,827.614529
-0.001705,999,828.915117
-0.001511,999,830.149631
-0.001811,999,831.44582
-0.001902,999,832.732777
-0.001509,999,834.040858
-0.001525,999,835.340924
-0.001502,999,836.571012
-0.001502,999,837.894925
-0.001716,999,839.230736
-0.002356,999,840.541928
-0.002054,999,841.82352
-0.001567,999,843.141005
-0.001425,999,844.360964
-0.001537,999,845.670475
-0.001594,999,846.985926
-0.001884,999,848.282927
-0.001484,999,849.586096
-0.001492,999,850.808023
-0.001499,999,852.116773
-0.001423,999,853.397895
-0.001505,999,854.679265
-0.001444,999,855.972558
-0.001539,999,857.202298
-0.001389,999,858.488635
-0.001728,999,859.770974
-0.001412,999,861.098535
-0.001315,999,862.382369
-0.001334,999,863.605016
-0.001501,999,864.901307
-0.001396,999,866.209985
-0.001511,999,867.523534
-0.001262,999,868.830905
-0.001326,999,870.078854
-0.001359,999,871.386218
-0.001373,999,872.702945
-0.001257,999,873.985881
-0.001278,999,875.284771
-0.001281,999,876.49713
-0.001251,999,877.790984
-0.00142,999,879.120796
-0.002496,999,880.411223
-0.004246,999,881.69855
-0.0038,999,882.912233
-0.002709,999,884.223916
-0.002063,999,885.478066
-0.001773,999,886.779548
-0.001604,999,888.094666
-0.001866,999,889.316091
-0.001739,999,890.611968
-0.00134,999,891.929418
-0.001261,999,893.227306
-0.0014,999,894.511159
-0.001437,999,895.811002
-0.001366,999,897.034773
-0.00137,999,898.355541
-0.001366,999,899.652067
-0.00125,999,900.979512
-0.001319,999,902.251307
-0.001299,999,903.501999
-0.001281,999,904.805819
-0.001227,999,906.082872
-0.001182,999,907.373973
-0.001297,999,908.698898
-0.001184,999,909.906705
-0.001125,999,911.203424
-0.00138,999,912.523573
-0.001379,999,913.811256
-0.001308,999,915.07965
-0.00123,999,916.338215
-0.001358,999,917.647807
-0.001224,999,918.934967
-0.001163,999,920.212927
-0.001214,999,921.478077
-0.001101,999,922.706138
-0.001224,999,924.003423
-0.001538,999,925.31622
-0.001505,999,926.604133
-0.00129,999,927.913521
-0.001284,999,929.124504
-0.00151,999,930.425329
-0.001227,999,931.743295
-0.001248,999,933.03952
-0.001212,999,934.35647
-0.001507,999,935.576837
-0.00136,999,936.864668
-0.001884,999,938.160652
-0.003086,999,939.468919
-0.003553,999,940.757739
-0.001947,999,942.0034
-0.001167,999,943.310707
-0.001257,999,944.600676
-0.001907,999,945.888737
-0.003429,999,947.181849
-0.001145,999,948.427311
-0.003711,999,949.72704
-0.001864,999,951.010946
-0.001401,999,952.310099
-0.001841,999,953.584647
-0.001308,999,954.82621
-0.001721,999,956.018138
-0.001069,999,957.296903
-0.001094,999,958.552282
-0.001303,999,959.784904
-0.001488,999,961.039924
-0.002024,999,962.230587
-0.002554,999,963.486976
-0.002061,999,964.742847
-0.001533,999,966.007915
-0.001405,999,967.244519
-0.001528,999,968.446424
-0.002659,999,969.68049
-0.001997,999,970.931143
-0.002212,999,972.176621
-0.00176,999,973.433267
-0.00131,999,974.59957
-0.001061,999,975.830091
-0.001102,999,977.086076
-0.001146,999,978.324628
-0.001151,999,979.577429
-0.001323,999,980.771434
-0.001309,999,982.020429
-0.001289,999,983.281973
-0.001193,999,984.540056
-0.001045,999,985.77335
-0.000895,999,986.957662
-0.00096,999,988.240584
-0.000915,999,989.476338
-0.000959,999,990.727569
-0.000941,999,991.982551
-0.000973,999,993.206805
-0.000921,999,994.446713
-0.000937,999,995.70429
-0.001008,999,996.941365
-0.001036,999,998.18373
-0.001077,999,999.377842
-0.000979,999,1000.605021
-0.001021,999,1001.864858
-0.00109,999,1003.132596
-0.001166,999,1004.358045
-0.001314,999,1005.59594
-0.001935,999,1006.772861
-0.001323,999,1008.049477
-0.000961,999,1009.284443
-0.001196,999,1010.535465
-0.000988,999,1011.764898
-0.00109,999,1012.95338
-0.000958,999,1014.212128
-0.000972,999,1015.461991
-0.001051,999,1016.708889
-0.000968,999,1018.063894
-0.001048,999,1019.360919
-0.001049,999,1020.688333
-0.001366,999,1022.064055
-0.001619,999,1023.451417
-0.001277,999,1024.850934
-0.001059,999,1026.182918
-0.000969,999,1027.567243
-0.001338,999,1028.859708
-0.001346,999,1030.12442
-0.001327,999,1031.426113
-0.001547,999,1032.652841
-0.00097,999,1033.938011
-0.000899,999,1035.209269
-0.000999,999,1036.493291
-0.001036,999,1037.798092
-0.001097,999,1039.036168
-0.000965,999,1040.360828
-0.001102,999,1041.742444
-0.001316,999,1043.126771
-0.001301,999,1044.506539
-0.001236,999,1045.759434
-0.00092,999,1047.054511
-0.000923,999,1048.374135
-0.001012,999,1049.67685
-0.00109,999,1050.959845
-0.001696,999,1052.194343
-0.001648,999,1053.466993
-0.001252,999,1054.774317
-0.00095,999,1056.077483
-0.000881,999,1057.382244
-0.00103,999,1058.710182
-0.001224,999,1059.927931
-0.001392,999,1061.22308
-0.001434,999,1062.530151
-0.001401,999,1063.819656
-0.001514,999,1065.115814
-0.001461,999,1066.339121
-0.001575,999,1067.658228
-0.001338,999,1068.990836
-0.000948,999,1070.313128
-0.000965,999,1071.593447
-0.000992,999,1072.873596
-0.000865,999,1074.170338
-0.000896,999,1075.485333
-0.000954,999,1076.808919
-0.001257,999,1078.133072
-0.002021,999,1079.368866
-0.002005,999,1080.683553
-0.001681,999,1081.990225
-0.001022,999,1083.293822
-0.000949,999,1084.588327
-0.000989,999,1085.797824
-0.000951,999,1087.124805
-0.000991,999,1088.437886
-0.001048,999,1089.74703
-0.000975,999,1091.047196
-0.001054,999,1092.272332
-0.000918,999,1093.593026
-0.000913,999,1094.882486
-0.000899,999,1096.177989
-0.001002,999,1097.486313
-0.000956,999,1098.716233
-0.001119,999,1100.036231
-0.000932,999,1101.358149
-0.000948,999,1102.678385
