Wall time,Step,Value
1587270276.6943758,39041,-102.5993423461914
1587270278.2820196,39590,-47.901451110839844
1587270282.7872593,40598,-144.3731689453125
1587270287.277458,41606,-62.10773468017578
1587270290.5737114,42614,91.06300354003906
1587270293.52368,43541,-171.8369903564453
1587270297.2690427,44549,-203.04148864746094
1587270302.1474998,45557,-110.12537384033203
1587270305.7871065,46564,-71.06171417236328
1587270309.264996,47572,-120.05939483642578
1587270313.2961886,48580,-136.87742614746094
1587270316.5891798,49588,-75.48884582519531
1587270320.6484969,50596,13.446742057800293
1587270324.5367243,51604,-112.50199890136719
1587270329.2430944,52611,-40.202919006347656
1587270333.3811033,53619,-227.4691619873047
1587270338.484256,54627,-121.15684509277344
1587270341.455266,55635,-110.20404052734375
